sex,age_band,education,risk_tier,n_people,active_rate,mean_net_gain_loss_usd,median_net_gain_loss_usd,p_loss_over_500,p_loss_over_2000,p_loss_over_5000,scenario
Female,18-34,B.A. or higher,medium,2278,0.2115891132572432,-283.10761007094607,0.0,0.1321334503950834,0.09525899912203688,0.02151009657594381,low_hold
Female,18-34,No college,medium,1887,0.17859035506094328,-210.9264731974272,0.0,0.11022787493375728,0.07154213036565978,0.012188659247482777,low_hold
Female,35-49,B.A. or higher,medium,2233,0.2051052395879982,-226.23479663788783,0.0,0.1244961934617107,0.0819525302283923,0.021495745633676667,low_hold
Female,35-49,No college,medium,1935,0.16589147286821707,-179.92705627818634,0.0,0.09767441860465116,0.059948320413436694,0.0103359173126615,low_hold
Female,50-64,B.A. or higher,low,605,0.047933884297520664,-34.45221524108999,0.0,0.02809917355371901,0.0049586776859504135,0.0,low_hold
Female,50-64,No college,low,571,0.04553415061295972,-32.04474715623431,0.0,0.028021015761821366,0.0035026269702276708,0.0,low_hold
Female,65+,B.A. or higher,low,300,0.03666666666666667,-5.376756349112743,0.0,0.0033333333333333335,0.0,0.0,low_hold
Female,65+,No college,low,208,0.009615384615384616,-4.350926942848291,0.0,0.004807692307692308,0.0,0.0,low_hold
Male,18-34,B.A. or higher,high,4475,0.5101675977653631,-2341.8080832196283,0.0,0.329608938547486,0.30905027932960893,0.2677094972067039,low_hold
Male,18-34,No college,high,3833,0.39681711453169843,-1489.3341529297165,0.0,0.25071745369162535,0.23402034959561702,0.19410383511609705,low_hold
Male,35-49,B.A. or higher,high,4528,0.47614840989399293,-1789.9193178957535,0.0,0.30609540636042404,0.2873233215547703,0.23851590106007067,low_hold
Male,35-49,No college,high,3831,0.37405377186113287,-1229.9430616740938,0.0,0.23675280605586008,0.22056904202558078,0.184286087183503,low_hold
Male,50-64,B.A. or higher,high,1267,0.12628255722178375,-605.9155498324387,0.0,0.08602999210734018,0.07655880031570639,0.06629834254143646,low_hold
Male,50-64,No college,medium,1090,0.0908256880733945,-129.6135492224864,0.0,0.05596330275229358,0.03394495412844037,0.012844036697247707,low_hold
Male,65+,B.A. or higher,low,502,0.061752988047808766,-22.415993752729555,0.0,0.025896414342629483,0.0,0.0,low_hold
Male,65+,No college,low,457,0.05032822757111598,-25.832384581724718,0.0,0.024070021881838075,0.0,0.0,low_hold
Female,18-34,B.A. or higher,medium,2278,0.2115891132572432,-343.0275029205811,0.0,0.14223002633889376,0.10272168568920105,0.02502194907813872,base_hold
Female,18-34,No college,medium,1887,0.17859035506094328,-259.9705479690249,0.0,0.11658717541070482,0.07737148913619502,0.01377848436671966,base_hold
Female,35-49,B.A. or higher,medium,2233,0.2051052395879982,-283.2267440719598,0.0,0.12987012987012986,0.09046126287505597,0.02328705776981639,base_hold
Female,35-49,No college,medium,1935,0.16589147286821707,-222.68927798767643,0.0,0.10645994832041343,0.06459948320413436,0.011369509043927648,base_hold
Female,50-64,B.A. or higher,low,605,0.047933884297520664,-37.748224265073866,0.0,0.03140495867768595,0.006611570247933884,0.0,base_hold
Female,50-64,No college,low,571,0.04553415061295972,-34.59112541153154,0.0,0.028021015761821366,0.0035026269702276708,0.0,base_hold
Female,65+,B.A. or higher,low,300,0.03666666666666667,-7.454820337752723,0.0,0.0033333333333333335,0.0,0.0,base_hold
Female,65+,No college,low,208,0.009615384615384616,-4.700472311274674,0.0,0.004807692307692308,0.0,0.0,base_hold
Male,18-34,B.A. or higher,high,4475,0.5101675977653631,-2869.579046091871,0.0,0.34324022346368716,0.32379888268156426,0.28044692737430166,base_hold
