person_id,sex,age_band,education,risk_tier,p_active_bettor,is_active_bettor,bets_per_year,yearly_total_staked_usd,yearly_total_payout_usd,yearly_net_gain_loss_usd
Q2_000001,Male,35-49,No college,high,0.3666409859291791,True,229,46728.58348125001,58973.494466250006,12244.910984999995
Q2_000002,Male,18-34,B.A. or higher,high,0.5183560089206772,True,229,50371.566046875014,49904.09322187501,-467.4728250000044
Q2_000003,Male,35-49,No college,high,0.3666409859291791,False,0,0.0,0.0,0.0
Q2_000004,Male,35-49,B.A. or higher,high,0.4801251006215442,True,239,54144.242336250005,58267.72728000001,4123.484943750002
Q2_000005,Female,18-34,No college,medium,0.1751685823249185,False,0,0.0,0.0,0.0
Q2_000006,Male,65+,B.A. or higher,low,0.0606183771229496,False,0,0.0,0.0,0.0
Q2_000007,Male,35-49,B.A. or higher,high,0.4801251006215442,False,0,0.0,0.0,0.0
Q2_000008,Male,35-49,No college,high,0.3666409859291791,False,0,0.0,0.0,0.0
Q2_000009,Female,18-34,No college,medium,0.1751685823249185,False,0,0.0,0.0,0.0
Q2_000010,Male,18-34,B.A. or higher,high,0.5183560089206772,True,233,45398.666671875006,31553.891690625005,-13844.77498125
Q2_000011,Male,18-34,B.A. or higher,high,0.5183560089206772,False,0,0.0,0.0,0.0
Q2_000012,Male,50-64,B.A. or higher,high,0.1239921350242151,False,0,0.0,0.0,0.0
Q2_000013,Male,35-49,B.A. or higher,high,0.4801251006215442,True,227,49030.84665000001,39733.14472425,-9297.701925750007
Q2_000014,Male,35-49,No college,high,0.3666409859291791,False,0,0.0,0.0,0.0
Q2_000015,Male,18-34,B.A. or higher,high,0.5183560089206772,False,0,0.0,0.0,0.0
Q2_000016,Female,35-49,No college,medium,0.1622491719341769,False,0,0.0,0.0,0.0
Q2_000017,Male,18-34,No college,high,0.3958354977212443,False,0,0.0,0.0,0.0
Q2_000018,Female,18-34,B.A. or higher,medium,0.2293874292350123,True,104,16071.417109375001,15726.932453125,-344.4846562500006
Q2_000019,Male,35-49,No college,high,0.3666409859291791,False,0,0.0,0.0,0.0
Q2_000020,Male,35-49,B.A. or higher,high,0.4801251006215442,False,0,0.0,0.0,0.0
Q2_000021,Male,35-49,B.A. or higher,high,0.4801251006215442,False,0,0.0,0.0,0.0
Q2_000022,Male,18-34,B.A. or higher,high,0.5183560089206772,True,219,45202.16784375001,50176.70682187501,4974.538978124998
Q2_000023,Male,65+,B.A. or higher,low,0.0606183771229496,False,0,0.0,0.0,0.0
