"2025 Survey of Online Gambling Habits¹
Results (in percentage of respondents) of a 3,047 person U.S.² survey regarding gambling habits.",,,,,,,,,,,,"Frequency of Online Betting
Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.",,,,
,Total by year,,Gender,,Age,,,,Eduation,,,,U.S.,U.K.,All markets¹,
,2025,2024,Male,Female,18-34,35-49,50-64,65+,No college,B.A. or higher,,None in the last 6 months,8,11,11,
Has account with online sportsbook,22,19,30,15,35,34,10,4,21,25,,Less than once per month,15,23,18,
"Of those with an account, percentage with at least one sports betting app",87,91,90,81,89,89,76,73,85,90,,Once per month,11,17,15,
"Of those with an account, how many different sportsbooks do you have an account with?",,,,,,,,,,,,A few times a month,19,21,18,
Just one,40,37,37,46,34,39,51,73,39,41,,1-2 times per week,19,18,18,
2,34,35,36,31,38,36,25,10,35,33,,3-4 times per week,13,5,10,
3,15,21,16,13,16,15,12,12,15,15,,5-7 times per week,8,4,6,
4 or more,10,7,11,8,12,9,7,5,10,10,,More than 7 times per week,6,1,4,
"Of those with an account, how often do you investigate possible bets?",,,,,,,,,,,,"Source: Paysafe Group, with Sapio Research. Frequency of online bets made by individuals involved or interested in sports betting worldwide as of December 2023, by market.
¹ Includes residents of all countries included in the survey, including the U.S., U.K., Canada, France, Germany, Italy, etc.",,,,
More than 2 times a day,19,24,22,16,24,18,12,10,21,16,,,,,,
Once or twice each day,25,24,28,20,30,23,21,16,23,31,,"U.S. gamblers' monthly wagers
Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.",,,,
A couple of times a week,30,30,30,30,37,33,23,50,29,32,,,$1-$100,$101-$500,$500+,
Once in a while,18,20,16,22,14,21,29,14,20,16,,Football,65,22,9,
Never,6,3,3,10,4,6,13,10,7,4,,Basketball,65,22,10,
"Of those with an account, percent that have  placed a bet on a sporting event through an online sportsbook?",83,88,87,77,86,82,72,88,80,88,,Soccer,64,21,10,
"Of those with an account AND have placed a bet, would you say you win more than you lost or lost more than you win or break even?",,,,,,,,,,,,Baseball,62,23,12,
Win more than lose,30,36,33,25,33,29,17,25,24,39,,Horse racing,63,20,12,
Lose more than win,37,30,36,38,38,36,47,23,41,31,,"Source: YouGov, How Much do U.S. Sports Bettors Stake Each Month?
¹ Survey sample size is unknown",,,,
Usually break even,33,33,30,37,29,34,36,46,35,29,,,,,,
"Of those with an account AND have placed a bet, what is the largest amount of money you have ever won in a day using an online sportsbook?",,,,,,,,,,,,"Participation in online gambling, by type
Results (in percentage of respondents replying ""yes"") of an 801 person U.S. survey to participating in the listed activity",,,,
$50 or less,21,20,18,27,14,24,27,43,23,17,,Online gambling type,,,,
$50-$99.99,22,18,20,26,24,20,27,17,25,18,,Sports betting,10,,,
